399,303
394,359
383,413
369,465
347,514
317,559
280,596
239,622
194,628
152,617
117,589
86,552
61,507
43,457
33,403
24,348
18,289
18,1
399,1
140,482
165,463
186,455
200,460
214,457
235,468
258,486
234,524
212,534
196,534
180,529
161,513
151,482
184,472
199,475
213,475
248,486
212,507
199,507
183,503
204,278
203,311
202,343
201,377
164,403
181,411
200,417
218,412
237,406
84,289
106,277
133,279
155,299
130,303
103,301
254,298
275,281
303,279
325,291
305,303
278,305
50,241
76,224
110,217
145,220
175,232
238,233
270,222
307,220
342,228
368,248
