27,8,28
8,27,7
37,27,28
27,37,36
0,1,57
1,2,58
2,3,47
28,8,9
3,4,25
29,10,30
10,29,9
4,5,25
37,28,29
5,6,26
11,19,30
19,11,12
21,32,20
32,21,22
6,7,27
6,27,26
13,43,19
43,13,14
22,34,33
34,22,23
10,11,30
41,59,47
59,41,54
19,43,20
12,13,19
47,42,41
42,47,46
53,14,15
14,53,43
41,43,52
43,41,42
15,16,48
62,17,63
17,62,61
16,17,60
18,0,69
17,18,63
35,24,25
24,35,34
15,48,53
19,20,31
50,52,49
52,50,51
21,20,44
45,22,21
22,45,23
58,56,57
56,58,59
47,3,25
54,41,40
47,24,23
24,47,25
23,24,34
5,26,25
25,26,35
22,33,32
26,27,36
28,9,29
37,29,38
33,37,38
37,33,36
32,31,20
31,32,38
29,30,38
30,19,31
30,31,38
26,36,35
32,33,38
35,36,34
33,34,36
65,54,39
54,65,55
48,60,61
60,48,16
50,64,51
64,50,63
43,53,52
39,40,51
40,39,54
2,47,58
44,20,43
40,41,51
46,45,42
45,46,23
45,21,44
23,46,47
43,42,44
44,42,45
1,58,57
49,52,53
41,52,51
62,50,49
50,62,63
48,49,53
49,48,61
49,61,62
39,51,64
56,59,55
54,55,59
55,65,66
56,67,68
67,56,66
56,55,66
56,68,57
0,57,69
58,47,59
60,17,61
39,64,65
63,18,66
64,63,65
65,63,66
66,18,67
57,68,69
67,18,68
68,18,69
